app_class,scenario,simulation_time
TwoDCNSApps,Router_Only,276
HighResTwoDCNSApps,Router_Only,305
LowResTwoDCNSApps,Router_Only,218
TwoDCNSApps,Router_Proxy,201
HighResTwoDCNSApps,Router_Proxy,262
LowResTwoDCNSApps,Router_Proxy,207
TwoDCNSApps,Router_Cloud,207
HighResTwoDCNSApps,Router_Cloud,298
LowResTwoDCNSApps,Router_Cloud,235
TwoDCNSApps,Proxy_Only,237
HighResTwoDCNSApps,Proxy_Only,405
LowResTwoDCNSApps,Proxy_Only,256
TwoDCNSApps,Proxy_Cloud,257
HighResTwoDCNSApps,Proxy_Cloud,299
LowResTwoDCNSApps,Proxy_Cloud,195
TwoDCNSApps,Cloud_Only,291
HighResTwoDCNSApps,Cloud_Only,372
LowResTwoDCNSApps,Cloud_Only,249
TwoDCNSApps,ModuleBased_Router_Proxy,213
HighResTwoDCNSApps,ModuleBased_Router_Proxy,311
LowResTwoDCNSApps,ModuleBased_Router_Proxy,203
TwoDCNSApps,Router_Only,213
HighResTwoDCNSApps,Router_Only,328
LowResTwoDCNSApps,Router_Only,262
TwoDCNSApps,Router_Proxy,233
HighResTwoDCNSApps,Router_Proxy,281
LowResTwoDCNSApps,Router_Proxy,194
TwoDCNSApps,Router_Cloud,214
HighResTwoDCNSApps,Router_Cloud,286
LowResTwoDCNSApps,Router_Cloud,198
TwoDCNSApps,Proxy_Only,258
HighResTwoDCNSApps,Proxy_Only,400
LowResTwoDCNSApps,Proxy_Only,223
TwoDCNSApps,Proxy_Cloud,247
HighResTwoDCNSApps,Proxy_Cloud,325
LowResTwoDCNSApps,Proxy_Cloud,231
TwoDCNSApps,Cloud_Only,246
HighResTwoDCNSApps,Cloud_Only,425
LowResTwoDCNSApps,Cloud_Only,286
TwoDCNSApps,ModuleBased_Router_Proxy,202
HighResTwoDCNSApps,ModuleBased_Router_Proxy,296
LowResTwoDCNSApps,ModuleBased_Router_Proxy,200
