tuple,execution_time,scenario
"[motion_detector, object_detector, object_tracker]",{'5.357142857142962'},Router_Proxy
"[object_tracker, PTZ_CONTROL]",{'3.1099999999999577'},Router_Proxy
"[motion_detector_1, object_detector_1, object_tracker_1]",{'7.63714285714261'},Router_Proxy
"[object_tracker_1, PTZ_CONTROL_1]",{'5.1109999999999305'},Router_Proxy
MOTION_VIDEO_STREAM,{'2.9571428571427987'},Router_Proxy
DETECTED_OBJECT,{'0.1111607142856883'},Router_Proxy
OBJECT_LOCATION,{'1.5285714285714675'},Router_Proxy
CAMERA,{'4.099999999999909'},Router_Proxy
OBJECT_LOCATION_1,{'1.5285714285714675'},Router_Proxy
MOTION_VIDEO_STREAM_1,{'2.971809523809452'},Router_Proxy
CAMERA_1,{'4.099999999999909'},Router_Proxy
DETECTED_OBJECT_1,{'0.1111607142856883'},Router_Proxy
